aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","2841457673415015031",true,4.8770162,false,"",0.09235198,0.07499034,0.07525406,"",1,true,1,18.890034,18.667744,60595.45767359994,"ZTF18accucaj","",2841457673415,98.3805149,"ztf","ztf",20.48137,0.20760526,0.99981534,"d6_m7",18.8562,18.876,2841,0.94857144,"t17_f5_c3",460120134,0.0877,0.1135,"24.5.1"
"","2841502383415015032",true,4.8770161,false,"",0.049691923,0.033102315,0.033899724,"",2,true,1,18.173616,17.758392,60595.50238429988,"ZTF18accucaj","",2841502383415,98.3804728,"ztf","ztf",20.55046,0.07788342,1,"d6_m7",18.1548,18.1007,2841,0.95,"t17_f5_c3",460120234,0.0498,0.0597,"24.5.1"
"","2843460013415015029",true,4.877014,false,"",0.07346413,0.062184386,0.062395047,"",1,true,1,18.621405,18.444092,60597.46001160005,"ZTF18accucaj","",2843460013415,98.3805018,"ztf","ztf",20.618605,0.16581714,1,"d6_m7",18.6135,18.5594,2843,0.95285714,"t17_f5_c3",460120134,0.0636,0.0767,"24.5.1"
"","2845420173415015010",true,4.877026,false,"",0.05059059,0.040038634,0.040310483,"",2,true,1,17.51945,17.27282,60599.42017359985,"ZTF18accucaj","",2845420173415,98.380465,"ztf","ztf",19.889084,0.03966183,0.9998023,"d6_m7",17.4879,17.4598,2845,0.94714284,"t17_f5_c3",460120234,0.0469,0.0582,"24.5.1"
"","2848456143415015015",true,4.8770646,false,"",0.12350844,0.10539116,0.1055076,"",1,true,1,18.579023,18.407991,60602.456145800184,"ZTF18accucaj","",2848456143415,98.3804593,"ztf","ztf",19.084953,0.17112854,0.9999746,"d6_m7",18.5741,18.641,2848,0.75714284,"t17_f5_c3",460120134,0.1661,0.2266,"24.5.1"
"","2848483463415015033",true,4.877025,false,"",0.06399673,0.04872818,0.049024384,"",2,true,1,17.715195,17.42583,60602.48346060002,"ZTF18accucaj","",2848483463415,98.3804954,"ztf","ztf",19.275589,0.102583185,0.99999976,"d6_m7",17.8703,17.9354,2848,0.87714285,"t17_f5_c3",460120234,0.0812,0.1102,"24.5.1"
"","2850371923415015009",true,4.8770536,false,"",0.12782665,0.10608399,0.106239274,"",1,true,1,18.768787,18.567947,60604.37192129996,"ZTF18accucaj","",2850371923415,98.3804279,"ztf","ztf",19.52265,0.15282787,0.99949825,"d6_m7",18.7345,18.5754,2850,0.94,"t17_f5_c3",460120134,0.1932,0.2143,"24.5.1"
"","2852401673415015022",true,4.8770136,false,"",0.054443385,0.05041573,0.05047656,"",1,true,1,17.737385,17.655247,60606.40167819988,"ZTF18accucaj","",2852401673415,98.3804838,"ztf","ztf",19.78119,0.10250894,0.9999905,"d6_m7",17.6929,17.614,2852,0.95285714,"t17_f5_c3",460120134,0.0524,0.0621,"24.5.1"
"","2854423903415015023",true,4.8770053,false,"",0.043024417,0.032270744,0.03273607,"",2,true,1,17.746298,17.449577,60608.42390049994,"ZTF18accucaj","",2854423903415,98.3804669,"ztf","ztf",20.518847,0.13119811,0.99999917,"d6_m7",17.7146,17.7168,2854,0.93857145,"t17_f5_c3",460120234,0.0356,0.0448,"24.5.1"
"","2854457043415015022",true,4.8770033,false,"",0.08273712,0.06797455,0.068235286,"",1,true,1,18.817535,18.608307,60608.457048600074,"ZTF18accucaj","",2854457043415,98.3804771,"ztf","ztf",20.41224,0.09352152,0.999997,"d6_m7",19.032,18.9794,2854,0.9457143,"t17_f5_c3",460120134,0.1126,0.1369,"24.5.1"
"","2856392483415015051",true,4.8770229,false,"",0.051806,0.045300327,0.045389798,"",2,false,1,16.8788,16.735245,60610.392488399986,"ZTF18accucaj",2886319033415015000,2856392483415,98.3804677,"ztf","ztf",19.4346,0.049477,"","",16.8921,16.8888,2856,0.92,"t17_f5_c3","",0.0409,0.0516,"24.5.1"
